Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Arbortrary,"Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/111547197/arbortrary,2.0,-1,Sport,5.9,1,25,30.3645,-98.1264
"Smitten Psychopath","Dr. Seuss / Prototype Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105886200/smitten-psychopath,1.9,-1,Sport,5.9,1,,30.3623,-98.125
"The Last Waltz","Sunshine Roof > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/113631197/the-last-waltz,2.6,-1,Sport,5.10a,1,60,30.3631,-98.12506
"Traverse: R.O.S.","Rhetoric Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/111017500/traverse-ros,3.0,-1,"Sport, TR","5.10b PG13",1,50,30.36395,-98.12573
"Let the Wallies Loose","Mai Tai Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109865771/let-the-wallies-loose,2.5,-1,Sport,5.9,1,40,30.3337,-98.1222
"Die Hard","Crankenstein > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/106366864/die-hard,2.2,-1,Sport,5.10a,1,40,30.3612,-98.1254
"Mega Lounge","Mai Tai Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109865757/mega-lounge,2.1,-1,"Sport, TR",5.8+,1,35,30.3337,-98.1222
"Crack Smack","Mai Tai Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109865905/crack-smack,2.6,-1,Sport,"5.10b R",1,40,30.3337,-98.1222
Spongebob,"Taint Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/120679282/spongebob,2.6,-1,Sport,5.7,1,30,30.36246,-98.12483
"Deception Pass","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105905877/deception-pass,2.3,-1,Sport,5.10b,1,,30.3664,-98.1287
"Mrs. Johnson","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/107499524/mrs-johnson,1.9,-1,Sport,5.10b,1,25,30.3645,-98.1264
"Hidden Pockets","Taint Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/109664400/hidden-pockets,1.9,-1,Sport,5.8,1,40,30.36246,-98.12483
"Sunny Fun","Zoey's Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112541668/sunny-fun,2.3,-1,Sport,5.8,1,30,30.363,-98.125
"Freedom Fries","Hand Beyond Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/108479621/freedom-fries,1.9,-1,Sport,5.10b/c,1,25,30.3664,-98.1287
"Moraccan Snake Charmer (TR variation)","Serpent Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/110079669/moraccan-snake-charmer-tr-variation,2.3,-1,TR,5.9,1,25,30.36319,-98.12532
Ferntasm,"Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105906095/ferntasm,2.1,-1,Sport,5.10b,1,,30.3645,-98.1264
"Left of Ferntasm","Arbor Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/105906099/left-of-ferntasm,2.2,-1,Sport,5.10b,1,,30.3645,-98.1264
