Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Peace Breaker","Bee Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/114373215/peace-breaker,2.0,-1,Sport,5.10a,1,40,30.37804,-98.11511
Trinity,"The Matrix > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/118722745/trinity,2.0,-1,"Sport, TR",5.7,1,20,30.37672,-98.11912
"Pinko Commie","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119535645/pinko-commie,2.0,-1,TR,5.9,1,20,30.37668,-98.11865
Pwnrship,"Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/120670480/pwnrship,2.0,-1,TR,5.10a,1,25,30.37668,-98.11865
Vagabond,"Gypsy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/108765547/vagabond,1.5,-1,TR,5.8,1,25,30.37766,-98.11613
"The Quatch","Holladay Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/114012314/the-quatch,1.4,-1,Sport,5.9,1,,30.37873,-98.11307
"Fascist Reality","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119519032/fascist-reality,1.5,-1,TR,5.9,1,20,30.37668,-98.11865
"Unnamed Dihedral","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/118804193/unnamed-dihedral,1.2,-1,"Sport, TR",5.7,1,20,30.37668,-98.11865
Blank,"Holladay Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/107983583/blank,1.3,-1,Sport,"5.10b R",1,30,30.37873,-98.11307
"Unnamed Crack","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/118767480/unnamed-crack,1.0,-1,"Trad, TR",5.7,1,20,30.37668,-98.11865
"John the Baptist's Belt","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/118768706/john-the-baptists-belt,1.3,-1,"Trad, TR",5.7,1,20,30.37668,-98.11865
"Honesty is the Best Policy","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119535611/honesty-is-the-best-policy,1.0,-1,TR,5.8,1,20,30.37668,-98.11865
"Bleeding Heart Conservative","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119795265/bleeding-heart-conservative,1.0,-1,TR,5.8,1,20,30.37668,-98.11865
Unnamed,"The Matrix > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/118723665/unnamed,1.0,-1,TR,5.9+,1,25,30.37672,-98.11912
"Path of Zen","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/120670165/path-of-zen,1.0,-1,TR,5.10a,1,25,30.37668,-98.11865
"Staunch Liberal","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119845068/staunch-liberal,1.0,-1,TR,5.10a,1,20,30.37668,-98.11865
"Do What Thou Wilt","Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/120670513/do-what-thou-wilt,1.0,-1,TR,5.9,1,20,30.37668,-98.11865
Bud-ism,"Philosophy Wall > Reimer's Ranch North Shore > Austin Area > Texas",https://www.mountainproject.com/route/119844590/bud-ism,1.0,-1,TR,5.10b,1,20,30.37668,-98.11865
